bowler,bowling_style,batting_style,playing_role,balls_bowled,bowling_arm,bowling_type,bowling_detail
Shoaib Akhtar,Right arm Fast,Right hand Bat,Bowler,46,Right,Pace,Fast
JPR Scantlebury-Searles,Right arm Fast medium,Right hand Bat,Bowling Allrounder,45,Right,Pace,Fast-medium
L Ablish,Right arm Medium fast,Right hand Bat,Bowler,45,Right,Pace,Medium-fast
MK Tiwary,Legbreak Googly,Right hand Bat,Batter,45,Right,Spin,Legbreak
MW Short,Right arm Offbreak,Right hand Bat,Top order Batter,45,Right,Spin,Offbreak
DJ Thornely,"Right arm Medium, Right arm Offbreak",Right hand Bat,Top order Batter,44,Right,Pace,Medium
AJ Finch,Slow Left arm Orthodox,Right hand Bat,Top order Batter,44,Left,Spin,Left-arm orthodox
B Muzarabani,Right arm Fast medium,Right hand Bat,Bowler,44,Right,Pace,Fast-medium
GH Vihari,Right arm Offbreak,Right hand Bat,Batting Allrounder,43,Right,Spin,Offbreak
RS Hangargekar,Right arm Medium,Right hand Bat,Bowling Allrounder,43,Right,Pace,Medium
D du Preez,Right arm Fast medium,Right hand Bat,,43,Right,Pace,Fast-medium
SM Boland,Right arm Fast medium,Right hand Bat,Bowler,43,Right,Pace,Fast-medium
PHKD Mendis,"Right arm Offbreak, Slow Left arm Orthodox",Left hand Bat,Allrounder,42,Right,Spin,Offbreak
M Manhas,Right arm Offbreak,Right hand Bat,Allrounder,42,Right,Spin,Offbreak
LB Williams,Right arm Medium fast,Left hand Bat,Bowler,42,Right,Pace,Medium-fast
CJ McKay,Right arm Fast medium,Right hand Bat,Bowler,42,Right,Pace,Fast-medium
AUK Pathan,Right arm Medium,Right hand Bat,Bowler,41,Right,Pace,Medium
A Badoni,Right arm Offbreak,Right hand Bat,Batter,41,Right,Spin,Offbreak
MD Shanaka,Right arm Medium,Right hand Bat,Allrounder,38,Right,Pace,Medium
A Uniyal,Left arm Medium,Left hand Bat,,38,Left,Pace,Medium
L Wood,Left arm Fast medium,Left hand Bat,Bowling Allrounder,38,Left,Pace,Fast-medium
SD Chitnis,Right arm Offbreak,Right hand Bat,Batter,38,Right,Spin,Offbreak
M Vijay,Right arm Offbreak,Right hand Bat,Opening Batter,37,Right,Spin,Offbreak
SSB Magala,Right arm Fast medium,Right hand Bat,Bowler,37,Right,Pace,Fast-medium
RG More,Right arm Medium,Right hand Bat,Bowler,37,Right,Pace,Medium
T Stubbs,Right arm Offbreak,Right hand Bat,Wicketkeeper Batter,37,Right,Spin,Offbreak
SR Tendulkar,"Right arm Offbreak, Legbreak Googly",Right hand Bat,Top order Batter,37,Right,Spin,Offbreak
GF Linde,Slow Left arm Orthodox,Left hand Bat,Allrounder,37,Left,Spin,Left-arm orthodox
R Ninan,Right arm Offbreak,Right hand Bat,Allrounder,36,Right,Spin,Offbreak
KA Maharaj,Slow Left arm Orthodox,Right hand Bat,Bowler,36,Left,Spin,Left-arm orthodox
T Henderson,Right arm Fast medium,Right hand Bat,Bowler,36,Right,Pace,Fast-medium
Krish Bhagat,Unknown,Unknown,Unknown,36,Unknown,Unknown,Unknown
PH Solanki,Legbreak,Right hand Bat,Bowler,36,Right,Spin,Legbreak
SZ Mulani,Slow Left arm Orthodox,Left hand Bat,Allrounder,33,Left,Spin,Left-arm orthodox
Y Prithvi Raj,Left arm Medium,Left hand Bat,Bowler,33,Left,Pace,Medium
RA Bawa,Right arm Medium fast,Left hand Bat,Allrounder,32,Right,Pace,Medium-fast
VS Yeligati,Right arm Offbreak,Right hand Bat,,32,Right,Spin,Offbreak
DA Payne,Left arm Fast medium,Right hand Bat,Bowler,31,Left,Pace,Fast-medium
GD Phillips,Right arm Offbreak,Right hand Bat,Wicketkeeper Batter,31,Right,Spin,Offbreak
PM Sarvesh Kumar,Right arm Medium,Right hand Bat,,31,Right,Pace,Medium
NL McCullum,Right arm Offbreak,Right hand Bat,Bowler,30,Right,Spin,Offbreak
AS Raut,Legbreak Googly,Right hand Bat,Allrounder,30,Right,Spin,Legbreak
BMAJ Mendis,Legbreak,Left hand Bat,Allrounder,30,Right,Spin,Legbreak
S Joseph,Right-arm fast,Left-hand bat,,30,Right,Pace,Fast
H Sharma,Legbreak,Right hand Bat,Bowler,30,Right,Spin,Legbreak
MA Khote,Right arm Medium,Right hand Bat,,30,Right,Pace,Medium
PVSN Raju,Unknown,Unknown,Unknown,29,Unknown,Unknown,Unknown
D Jansen,Left arm Medium,Left hand Bat,,28,Left,Pace,Medium
D Madushanka,Left arm Medium fast,Right hand Bat,Bowler,28,Left,Pace,Medium-fast
Mashrafe Mortaza,Right arm Fast medium,Right hand Bat,Bowler,28,Right,Pace,Fast-medium
IC Porel,Right arm Medium,Right hand Bat,Bowler,26,Right,Pace,Medium
BJ Dwarshuis,Left arm Fast medium,Left hand Bat,Bowler,26,Left,Pace,Fast-medium
NB Singh,Right arm Medium,Right hand Bat,Bowler,25,Right,Pace,Medium
SS Sarkar,Right arm Medium,Right hand Bat,Bowler,25,Right,Pace,Medium
MG Neser,Right arm Medium fast,Right hand Bat,Bowling Allrounder,25,Right,Pace,Medium-fast
A Dananjaya,"Right arm Offbreak, Legbreak",Left hand Bat,Allrounder,25,Right,Spin,Offbreak
DAJ Bracewell,Right arm Fast medium,Right hand Bat,Bowler,25,Right,Pace,Fast-medium
AA Noffke,Right arm Fast medium,Right hand Bat,Allrounder,25,Right,Pace,Fast-medium
R Goyal,Left arm Wrist spin,Left hand Bat,Bowler,24,Left,Spin,Left-arm wrist spin
GR Napier,Right arm Medium,Right hand Bat,Bowling Allrounder,24,Right,Pace,Medium
P Ray Barman,Legbreak Googly,Right hand Bat,Bowler,24,Right,Spin,Legbreak
V Kaverappa,Right arm Fast medium,Right hand Bat,Bowler,24,Right,Pace,Fast-medium
SS Agarwal,Legbreak Googly,Right hand Bat,,24,Right,Spin,Legbreak
Tilak Varma,Right arm Offbreak,Left hand Bat,Batting Allrounder,23,Right,Spin,Offbreak
Sumit Kumar,Right arm Medium fast,Right hand Bat,Allrounder,22,Right,Pace,Medium-fast
R Powell,Right arm Medium fast,Right hand Bat,Middle order Batter,21,Right,Pace,Medium-fast
Tejas Baroka,Legbreak Googly,Right hand Bat,Bowler,21,Right,Spin,Legbreak
Vivrant Sharma,Legbreak Googly,Left hand Bat,,21,Right,Spin,Legbreak
Gurnoor Brar,Right arm Fast,Left hand Bat,Bowler,21,Right,Pace,Fast
RV Patel,Right arm Medium fast,Right hand Bat,Middle order Batter,20,Right,Pace,Medium-fast
CJ Dala,Right arm Medium,Right hand Bat,Bowler,19,Right,Pace,Medium
Sunny Gupta,Right arm Offbreak,Right hand Bat,,19,Right,Spin,Offbreak
LI Meriwala,Left arm Fast medium,Left hand Bat,Bowler,19,Left,Pace,Fast-medium
MB Parmar,Right arm Offbreak,Right hand Bat,,19,Right,Spin,Offbreak
Suryansh Shedge,Unknown,Unknown,Unknown,19,Unknown,Unknown,Unknown
LMP Simmons,Right arm Medium fast,Right hand Bat,Top order Batter,18,Right,Pace,Medium-fast
DJ Harris,Right arm Medium,Right hand Bat,,18,Right,Pace,Medium
RW Price,Slow Left arm Orthodox,Right hand Bat,Bowler,18,Left,Spin,Left-arm orthodox
NJ Rimmington,Right arm Fast medium,Right hand Bat,Bowler,18,Right,Pace,Fast-medium
M Shahrukh Khan,Right arm Offbreak,Right hand Bat,Batter,18,Right,Spin,Offbreak
KS Williamson,Right arm Offbreak,Right hand Bat,Top order Batter,18,Right,Spin,Offbreak
S Sriram,Slow Left arm Orthodox,Left hand Bat,Middle order Batter,18,Left,Spin,Left-arm orthodox
D Ferreira,Unknown,Unknown,Unknown,18,Unknown,Unknown,Unknown
Jalaj S Saxena,"Right arm Offbreak, Legbreak Googly",Right hand Bat,Allrounder,18,Right,Spin,Offbreak
RS Ghosh,Unknown,Unknown,Unknown,18,Unknown,Unknown,Unknown
DB Ravi Teja,Legbreak Googly,Right hand Bat,Batter,18,Right,Spin,Legbreak
A Nel,Right arm Fast medium,Right hand Bat,Bowler,18,Right,Pace,Fast-medium
DJM Short,Left arm Wrist spin,Left hand Bat,Opening Batter,18,Left,Spin,Left-arm wrist spin
N Wadhera,Legbreak,Left hand Bat,Top order Batter,17,Right,Spin,Legbreak
CK Kapugedera,Right arm Medium,Right hand Bat,Middle order Batter,17,Right,Pace,Medium
CJ Green,Right arm Offbreak,Right hand Bat,Bowling Allrounder,17,Right,Spin,Offbreak
Monu Kumar,Right arm Medium,Right hand Bat,Bowling Allrounder,16,Right,Pace,Medium
S Rana,Right arm Medium fast,Right hand Bat,Bowler,16,Right,Pace,Medium-fast
NA Saini,Right arm Fast,Right hand Bat,Bowler,15,Right,Pace,Fast
R Sanjay Yadav,Slow Left arm Orthodox,Left hand Bat,Allrounder,14,Left,Spin,Left-arm orthodox
Abdur Razzak,Slow Left arm Orthodox,Left hand Bat,Bowler,14,Left,Spin,Left-arm orthodox
AA Kazi,Slow Left arm Orthodox,Left hand Bat,Bowler,13,Left,Spin,Left-arm orthodox
S Vidyut,Slow Left arm Orthodox,Left hand Bat,Batting Allrounder,13,Left,Spin,Left-arm orthodox
LRPL Taylor,Right arm Offbreak,Right hand Bat,Middle order Batter,13,Right,Spin,Offbreak
Arshad Khan (2),Left arm Medium,Left hand Bat,Bowler,13,Left,Pace,Medium
S Midhun,Legbreak Googly,Right hand Bat,Bowler,13,Right,Spin,Legbreak
Mohit Rathee,Legbreak,Right hand Bat,Allrounder,12,Right,Spin,Legbreak
Musheer Khan,Unknown,Unknown,Unknown,12,Unknown,Unknown,Unknown
RR Bhatkal,Right arm Medium,Right hand Bat,Allrounder,12,Right,Pace,Medium
Mandeep Singh,Right arm Medium,Right hand Bat,Allrounder,12,Right,Pace,Medium
JE Root,"Right arm Offbreak, Legbreak",Right hand Bat,Top order Batter,12,Right,Spin,Offbreak
RR Bose,Right arm Fast medium,Right hand Bat,,12,Right,Pace,Fast-medium
C Munro,Right arm Medium fast,Left hand Bat,Opening Batter,12,Right,Pace,Medium-fast
FY Fazal,Right arm Medium,Left hand Bat,Opening Batter,12,Right,Pace,Medium
PR Veer,Slow left-arm orthodox,Right-hand bat,,12,Left,Spin,Left-arm orthodox
R Ravindra,Slow Left arm Orthodox,Left hand Bat,Batting Allrounder,12,Left,Spin,Left-arm orthodox
T Vijay,Right-arm offbreak,Right-hand bat,,12,Right,Spin,Offbreak
Sachin Baby,Right arm Offbreak,Left hand Bat,Batter,10,Right,Spin,Offbreak
LA Carseldine,Left arm Medium,Left hand Bat,Allrounder,7,Left,Pace,Medium
BJ Rohrer,Unknown,Unknown,Unknown,7,Unknown,Unknown,Unknown
SS Mundhe,Right arm Medium,Right hand Bat,Allrounder,7,Right,Pace,Medium
Gulbadin Naib,Right arm Medium fast,Right hand Bat,Batting Allrounder,6,Right,Pace,Medium-fast
C Ganapathy,Right arm Medium,Right hand Bat,,6,Right,Pace,Medium
AM Rahane,Right arm Medium,Right hand Bat,Top order Batter,6,Right,Pace,Medium
Karim Janat,Right arm Medium,Right hand Bat,Bowling Allrounder,6,Right,Pace,Medium
Y Gnaneswara Rao,Right arm Medium,Right hand Bat,Allrounder,6,Right,Pace,Medium
RA Shaikh,Left arm Medium,Left hand Bat,,6,Left,Pace,Medium
P Prasanth,Slow Left arm Orthodox,Left hand Bat,Allrounder,6,Left,Spin,Left-arm orthodox
PWA Mulder,Right arm Medium,Right hand Bat,Allrounder,6,Right,Pace,Medium
B Chipli,Right arm Medium,Right hand Bat,Batter,6,Right,Pace,Medium
RA Tripathi,Right arm Medium,Right hand Bat,Top order Batter,6,Right,Pace,Medium
Aman Hakim Khan,Right arm Medium,Right hand Bat,Bowler,6,Right,Pace,Medium
RS Gavaskar,Slow Left arm Orthodox,Left hand Bat,,6,Left,Spin,Left-arm orthodox
SA Yadav,"Right arm Medium, Right arm Offbreak",Right hand Bat,Batter,6,Right,Pace,Medium
LPC Silva,Legbreak,Right hand Bat,Batter,6,Right,Spin,Legbreak
TH David,Right arm Offbreak,Right hand Bat,Middle order Batter,6,Right,Spin,Offbreak
SS Iyer,"Right arm Offbreak, Legbreak Googly",Right hand Bat,Top order Batter,6,Right,Spin,Offbreak
F du Plessis,Legbreak,Right hand Bat,Middle order Batter,6,Right,Spin,Legbreak
I Malhotra,Right arm Medium fast,Right hand Bat,Bowler,6,Right,Pace,Medium-fast
D Brevis,Legbreak,Right hand Bat,Batting Allrounder,3,Right,Spin,Legbreak
DA Warner,Legbreak,Left hand Bat,Opening Batter,2,Right,Spin,Legbreak
SPD Smith,Legbreak Googly,Right hand Bat,Middle order Batter,2,Right,Spin,Legbreak
SN Khan,Legbreak,Right hand Bat,Middle order Batter,2,Right,Spin,Legbreak
YBK Jaiswal,Legbreak,Left hand Bat,Opening Batter,1,Right,Spin,Legbreak
AC Gilchrist,Right arm Offbreak,Left hand Bat,Wicketkeeper Batter,1,Right,Spin,Offbreak
Atharva Taide,Slow Left arm Orthodox,Left hand Bat,Batting Allrounder,1,Left,Spin,Left-arm orthodox
Ishan Kishan,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown
